Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
EventBus,org.greenrobot.eventbusperf,TestParams,9,0,16,16,59,16,0,0,0.5,14,0
EventBus,org.greenrobot.eventbusperf,TestResult,3,0,5,5,21,5,1,0,0.4,1,0
EventBus,org.greenrobot.eventbusperf,TestEvent,0,0,0,0,5,0,0,0,-1.0,10,0
EventBus,org.greenrobot.eventbusperf.testsubject,PerfTestOtto,6,0,23,21,159,33,3,0,0.7391304347826086,1,4
EventBus,org.greenrobot.eventbusperf.testsubject,Post,0,0,4,4,26,6,0,1,-1.0,0,3
EventBus,org.greenrobot.eventbusperf.testsubject,RegisterAll,0,0,3,3,14,3,0,1,-1.0,0,2
EventBus,org.greenrobot.eventbusperf.testsubject,RegisterOneByOne,1,0,3,3,38,7,2,1,1.0,0,2
EventBus,org.greenrobot.eventbusperf.testsubject,RegisterFirstTime,0,0,2,2,16,2,0,2,-1.0,0,2
EventBus,org.greenrobot.eventbusperf.testsubject,Subscriber,0,0,7,7,17,7,0,0,-1.0,0,1
EventBus,org.greenrobot.eventbusperf.testsubject,SubscribeClassEventBusDefault,1,0,7,7,19,7,0,0,0.8571428571428571,0,2
EventBus,org.greenrobot.eventbusperf.testsubject,PerfTestEventBus,6,0,42,38,226,57,3,0,0.7380952380952381,6,5
EventBus,org.greenrobot.eventbusperf.testsubject,Post,0,0,4,4,30,6,0,1,-1.0,0,4
EventBus,org.greenrobot.eventbusperf.testsubject,RegisterAll,0,0,3,3,14,3,0,1,-1.0,0,3
EventBus,org.greenrobot.eventbusperf.testsubject,RegisterOneByOne,1,0,3,3,38,7,0,1,1.0,0,3
EventBus,org.greenrobot.eventbusperf.testsubject,RegisterFirstTime,0,0,2,2,16,2,0,2,-1.0,0,3
EventBus,org.greenrobot.eventbusperf.testsubject,SubscribeClassEventBusMain,0,0,6,6,15,6,0,0,-1.0,0,1
EventBus,org.greenrobot.eventbusperf.testsubject,SubscribeClassEventBusMainOrdered,0,0,6,6,15,6,0,0,-1.0,0,1
EventBus,org.greenrobot.eventbusperf.testsubject,SubscribeClassEventBusBackground,0,0,6,6,15,6,0,0,-1.0,0,1
EventBus,org.greenrobot.eventbusperf.testsubject,SubscriberClassEventBusAsync,0,0,6,6,15,6,0,0,-1.0,0,1
